Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Barista,PT FILOSOFI KOPI MANDIRI,Jakarta Pusat,Paruh waktu,,"Preparing a variety of coffee drinks, including espresso-based beverages, filter coffee, and specialty coffee, to the highest standards; Providing friendly and knowledgeable customer service, ensuring a positive experience for all patrons; Maintaining a clean and organised work station, adhering to health and safety standards; Assisting with inventory management and restocking of coffee and other supplies; Contributing to the overall success of the coffee shop through teamwork and collaboration; Previous experience as a Barista or in a similar role within the hospitality industry; A passion for coffee and a deep understanding of coffee brewing and roasting techniques; Excellent customer service skills, with the ability to interact with customers in a warm and friendly manner; Strong attention to detail and the ability to work efficiently in a fast-paced environment; A flexible and adaptable approach to work, able to handle multiple tasks and responsibilities; A commitment to maintaining high standards of cleanliness and food safety; Flexible work schedules to accommodate your lifestyle; Opportunities for career development and skill-building workshops; A vibrant, collaborative team culture with regular social events",https://id.jobstreet.com/id/job/91509073?type=standard&ref=search-standalone&origin=cardTitle
Compensation & Benefit Supervisor,AGRO BOGA UTAMA GROUP,Jakarta Selatan,Full time,,,https://id.jobstreet.com/id/job/91425748?type=standard&ref=search-standalone&origin=cardTitle
Staff Accounting Project,PT Glensil Indonesia,Tangerang,Full time,,"Pendidikan min. D3 Akuntansi / S1.; Pengalaman kerja min. 1 tahun dibidangnya; Mampu berkomunikasi dengan baik, disiplin, teliti, jujur dan bertanggung jawab.; Mengerti & memahami proses kerja Accounting proyek & pencatatan biaya proyek.; Mampu membuat Lap Rugi Laba & Lap. Keuangan.; Mampu bekerja dengan deadline sesuai dengan target yang ditentukan.; Berdomisili disekitar wilayah Tangerang.; Memastikan semua transaksi keuangan dicatat dengan akurat dan sesuai dengan prinsip akuntansi.; Menyusun & membuat laporan biaya project.; Melakukan rekonsiliasi akun dan laporan bank untuk memastikan keakuratan data.; Membantu dalam tugas – tugas administrasi keuangan lainnya.",https://id.jobstreet.com/id/job/91148835?type=standard&ref=search-standalone&origin=cardTitle
Manager Produksi Asphalt Mixing Plant,PT Dirgantara Yudha Artha group,Bandung,Full time,Rp 15.000.000 – Rp 20.000.000 per month,PendidikanMinimalS1 Teknik Sipil / Teknik Mesinatau jurusan terkaitMemiliki Sertifikasi :Sertifikat Kompetensi KonstruksiSKK Manajer Produksi Campuran Aspal PanasSertifikasi Ahli Madya Bidang Keahlian Teknik Jalan; MinimalS1 Teknik Sipil / Teknik Mesinatau jurusan terkait; Memiliki Sertifikasi :Sertifikat Kompetensi KonstruksiSKK Manajer Produksi Campuran Aspal PanasSertifikasi Ahli Madya Bidang Keahlian Teknik Jalan; Sertifikat Kompetensi Konstruksi; SKK Manajer Produksi Campuran Aspal Panas; Sertifikasi Ahli Madya Bidang Keahlian Teknik Jalan; Pengalaman Kerja; Kompetensi Teknis; Manajemen & Kepemimpinan; K3 & Kepatuhan; Administrasi & Pelaporan; Karakter & Soft Skill,https://id.jobstreet.com/id/job/91148070?type=standard&ref=search-standalone&origin=cardTitle
Content Creator (Leader),Putra Adhi Perkasa,Surabaya,Full time,Rp 4.000.000 – Rp 5.500.000 per month,"Memimpin dan mengelola tim content (foto, video, desain); Menyusun strategi konten yang mendukung peningkatan penjualan dan branding produk; Mengarahkan pembuatan konten untuk berbagai platform (marketplace, social media, dll); Memastikan konten yang dibuat sesuai dengan target market dan positioning brand; Berkolaborasi dengan tim marketing dan marketplace dalam menjalankan campaign dan promo; Mengembangkan ide-ide kreatif untuk meningkatkan engagement, traffic, dan conversion; Melakukan evaluasi performa konten berdasarkan data (reach, engagement, conversion); Minimal pengalaman 2–4 tahun di bidang content creator / digital content / social media; Memiliki pengalaman memimpin tim atau menjadi PIC konten (nilai tambah); Memahami strategi konten untuk marketing dan penjualan (bukan sekadar kreatif); Memahami tren konten digital (terutama untuk marketplace & social media); Mampu mengoperasikan tools seperti Canva, CapCut, atau software editing lainnya; Memiliki kemampuan komunikasi, leadership, dan koordinasi yang baik",https://id.jobstreet.com/id/job/91555268?type=standard&ref=search-standalone&origin=cardTitle
Junior Manager Accounting,PT Diamas Star,Tangerang,Kontrak/Temporer,,,https://id.jobstreet.com/id/job/91229521?type=standard&ref=search-standalone&origin=cardTitle
Brand Support Supervisor - FMCG,Pengiklan Anonim,Jakarta Raya,Full time,,"Minimum 3 years working experience as Assistant Brand Manager/Brand Executive/Brand Support in FMCG environment.; A minimum of Bachelor's Degree in related field; Experience in field market research, below the line activity, branding activities; MS Outlook, Excel, PowerPoint, and Word are essential; Strong analytical skills in data analysis; Attention to detail; Excellent interpersonal and communication skills; High level of energy and a ‘can do’ attitude; Ability to work with cross functional teams, strong influencing skills with a high level of resilience; Team player yet able to work alone effectively and with initiative",https://id.jobstreet.com/id/job/91458673?type=standard&ref=search-standalone&origin=cardTitle
FLM ATM First Level Maintenance Technician - Batam,PT Brinks Solutions Indonesia,Batam,Full time,,"Pemeriksaan & MonitoringMelakukan pengecekan rutin terhadap perangkat/mesin (ATM, EDC, jaringan, server, mesin produksi, dsb).Memastikan perangkat dalam kondisi normal dan siap digunakan.Melaporkan kondisi abnormal atau potensi gangguan.; Melakukan pengecekan rutin terhadap perangkat/mesin (ATM, EDC, jaringan, server, mesin produksi, dsb).; Memastikan perangkat dalam kondisi normal dan siap digunakan.; Melaporkan kondisi abnormal atau potensi gangguan.; Penanganan Gangguan RinganMengatasi masalah dasar seperti:Restart perangkatMengganti kabel, fuse, toner, ribbon, kertas (misalnya di ATM/mesin cetak)Membersihkan perangkat dari debu/kotoranMenangani error sederhana sesuai prosedur standar (SOP).; Mengatasi masalah dasar seperti:Restart perangkatMengganti kabel, fuse, toner, ribbon, kertas (misalnya di ATM/mesin cetak)Membersihkan perangkat dari debu/kotoran; Restart perangkat; Mengganti kabel, fuse, toner, ribbon, kertas (misalnya di ATM/mesin cetak); Membersihkan perangkat dari debu/kotoran; Menangani error sederhana sesuai prosedur standar (SOP).; Pemeliharaan PreventifMelakukan inspeksi berkala untuk mencegah kerusakan.Membersihkan dan memastikan perangkat tetap berfungsi optimal.Mengupdate software/firmware ringan jika diperlukan.; Melakukan inspeksi berkala untuk mencegah kerusakan.; Membersihkan dan memastikan perangkat tetap berfungsi optimal.; Mengupdate software/firmware ringan jika diperlukan.; Koordinasi & EskalasiJika masalah tidak dapat diselesaikan di level FLM, segera melakukan eskalasi ke Second Level Maintenance (SLM) atau teknisi spesialis.Memberikan laporan lengkap terkait kondisi masalah untuk memudahkan tindak lanjut.; Jika masalah tidak dapat diselesaikan di level FLM, segera melakukan eskalasi ke Second Level Maintenance (SLM) atau teknisi spesialis.; Memberikan laporan lengkap terkait kondisi masalah untuk memudahkan tindak lanjut.; Administrasi & DokumentasiMengisi log sheet maintenance (aktivitas, waktu, hasil).Melaporkan hasil kunjungan/pengecekan ke atasan atau sistem monitoring.Menjaga kelengkapan tools & spare part standar yang dibutuhkan.; Mengisi log sheet maintenance (aktivitas, waktu, hasil).; Melaporkan hasil kunjungan/pengecekan ke atasan atau sistem monitoring.; Menjaga kelengkapan tools & spare part standar yang dibutuhkan.; Pendidikan minimalSMK/D3 Teknikatau setara.; Diutamakanmemiliki 1 tahun pengalamansebagai staff maintenance / perbaikan, terutama terkait service ATM.; Jujur, berintegritas tinggi, bekerja sesuai prosedur; Memahami dasar troubleshooting teknis.; Bersedia standby & quick response untuk maintain ATM machines & backup.; Terampil mengendaraikendaraan roda dua dan roda empatserta memilikiSIM A dan SIM Caktif.; Bersedia ditempatkan di area lainnya.",https://id.jobstreet.com/id/job/90776394?type=standard&ref=search-standalone&origin=cardTitle
Accounting & Finance Staff,PT Aliana Bali Love,Gianyar,Full time,Rp 4.000.000 – Rp 6.000.000 per month,"Assist in invoicing, payments, and collection processes; Input daily transactions and simple journal entries; Perform bank and cash reconciliation; Prepare data for financial reports; Maintain proper filing of financial documents; Support finance and inventory operations; Operate and maintain accounting systems; Minimum education: Vocational High School (Accounting) / Diploma / Bachelor’s Degree in Accounting or Finance; 1–2 years of experience (fresh graduates are welcome to apply); Basic understanding of accounting principles (debit, credit, journal entries); Able to record simple financial transactions; Understand basic financial statements (profit & loss and balance sheet); Familiar with Microsoft Excel (basic level); Experience using accounting software is a plus; Detail-oriented, organized, and responsible; Able to work in a team and follow instructions; Willing to learn and grow; Basic English skills; Competitive salary package; BPJS Ketenagakerjaan & BPJS Kesehatan; THR (Holiday Allowance); 50% product discount; Annual leave entitlement; Career development opportunities in the hospitality industry; A professional, positive, and supportive working environment",https://id.jobstreet.com/id/job/91150543?type=standard&ref=search-standalone&origin=cardTitle
Procurement Department Head (Non MD),PT Surganya Motor Indonesia (PLANET BAN),Depok,Full time,,"Lead and manage the company’s procurement activities to support operational needs.; Develop procurement strategies to ensure cost efficiency, quality, and timely supply.; Manage vendor selection, negotiation, and supplier performance evaluation.; Coordinate with internal departments to understand procurement requirements.; Ensure procurement processes comply with company policies and procedures.; Monitor purchasing performance and prepare procurement reports.; Bachelor’s degree; Minimum5–7 years of experience in procurement/purchasing, with2–3 years in a managerial role.; Strong negotiation, vendor management, and cost analysis skills.; Good leadership, communication, and problem-solving abilities.; Proficient inMicrosoft Office; experience withERP/procurement systemsis an advantage.",https://id.jobstreet.com/id/job/91424477?type=standard&ref=search-standalone&origin=cardTitle
Production Manager,Pengiklan Anonim,Cikarang,Full time,,"Operational Excellence:Oversee daily production activities, ensuring compliance with production schedules, quality standards, and safety regulations.; Team Leadership:Lead, mentor, and develop a diverse production team to foster a culture of high performance and continuous improvement.; Process Optimization:Drive efficiency through lean manufacturing principles, bottleneck analysis, and equipment maintenance scheduling.; Quality & Compliance:Ensure full adherence to GMP, ISO, HALAL, and other industry-specific regulatory standards.; Inventory & Cost Control:Manage raw material usage, minimize waste, and oversee production costs to meet budgetary targets.; Education:Bachelor’s degree in Chemical Engineering, Food Technology, Industrial Engineering, or a related field.; Experience:Minimum 8 years of experience inproduction management in chemical plant(Flavor & Fragranceindustry is a plus); Technical Expertise:Understanding of extraction processes, blending, distillation, and facility management.; Leadership:Proven track record in managing large-scale teams and cross-functional collaboration.; Location:Willing to be based inCikarang, West Java.; Language:Proficient in Englishand Bahasa Indonesia.",https://id.jobstreet.com/id/job/91363195?type=standard&ref=search-standalone&origin=cardTitle
"BUSINESS DEVELOPMENT - SEMARANG, YOGYAKARTA",PT Wisanin Artha Jaya,Semarang,Full time,Rp 4.000.000 – Rp 5.800.000 per month,"Plan and prioritize sales activities effectively managing time and productivity; Maintain and develop existing and new customers using ethical sales methods, ensuring Raptors value proposition and return on investment are effectively communicated and apparent; Design business solutions for prospective new accounts; Optimize activity and internal resources to continually provide an exceptional level of service, redefining customer satisfaction; Diligently seek to understand the customer's needs; clearly demonstrate and articulate how Raptors industry leading products and services meet and exceed those needs, ensuring ease of business; Monitor and report on market and competitor activities while developing sales strategies and promotions to ensure competitive edge; Coordinate internal resources in staging product demonstrations showcasing Raptors advanced feature set and functionality.; Respond to and follow-up on leads, inquiries, proposals, and customized requests in a timely fashion; Set up and participate in interactive, online software demonstrations with potential clients; Aggressively seek to meet performance goals and targets, in accordance with official sales associate performance standards; Keep up-to-date on new software features; Represent Raptor, Inc. at outside events (i.e., association meetings, trade shows, conferences etc.); Some travel may be required.; Other assigned duties and responsibilities; Degree in related and appropriate field coupled with a minimum of 2 years related experience, or an equivalent combination of education and experience.; Professional training and management experience in the food service industry preferred; In-depth knowledge Point-of -Sale applications including peripheral integrated products preferred; Exceptional relationship building skills; ability to build and maintain profitable mutually beneficial business partnerships and relationships; A proven ability to close while consistently meeting and exceeding corporate goals and targets; Ability to identify decision-makers and build strong relationships.; Outstanding communication and presentation skills; must exude confidence and conviction in presenting return on investment to customers; Ability to understand client needs and demonstrate the impact, value, and return on investment of Raptors products and services; Strong consultative, selling, listening, and writing skills coupled with extensive knowledge of how Raptor products and services can positively impact the organization's operations and success; Ability to work with minimal supervision; Ability to motivate and encourage others on the sales team; Ability to communicate effectively with employees in all departments; Proven ability to work within a team environment, multitask, and adapt to frequent change",https://id.jobstreet.com/id/job/91226557?type=standard&ref=search-standalone&origin=cardTitle
Card Loan Officer Balikpapan,"PT. Bank Mega, Tbk",Balikpapan Kota,Kontrak/Temporer,,"Menawarkan dan mempromosikan kartu kredit kepada calon nasabah.; Bertanggung jawab dalam pencapaian penjualan.; Menjaga hubungan baik dengan nasabah; Pendidikan SMA/ D3/ S1 semua jurusan; Memiliki kemampuan komunikasi dan persuasi yang baik.; Rajin, disiplin dan berorientasi dengan hasil.; Mempunyai pengalaman di SPG/SPB/Sales/Marketing/Bisnis maupun Pelayanan.; Mampu bekerja dalam team maupun individu.; Penempatan di Kota Balikpapan",https://id.jobstreet.com/id/job/91271347?type=standard&ref=search-standalone&origin=cardTitle
SALES DAN MARKETING PROYEK,PT Rickstar Indonesia,Jakarta Timur,Full time,,"Melaksanakan kegiatan marketing; Memperluas dan menjaga hubungan baik dengan customer; Pendidikan minimal SMA/D3 (semua jurusan); Lulusan baru dipersilahkan melamar; Lebih disukai memiliki pengalaman minimal 1 tahun dalam bidang yang sama (untuk panel listrik atau metal sheet); Memiliki kepribadian jujur, loyal, dan bersedia bekerja keras; Memiliki kemampuan komunikasi dan negosiasi yang baik",https://id.jobstreet.com/id/job/91371919?type=standard&ref=search-standalone&origin=cardTitle
Sales Canvas,PT Bintang Anugrah Sehati,Jakarta Barat,Full time,Rp 4.000.000 – Rp 6.000.000 per month,Minimal pendidikan D3/ S1lebih diutamakan; Berpengalaman sebagai sales canvas min 1 tahun / Non Pengalaman; Dapat bekerja dalam tim maupun individu; Dapat bekerja dalam tekanan; Mempunyai loyalitas yang tinggi; lnovatif dan kreatif; Mempunyai SIM C/Alebih diutamakan; Bisa berbahasa Inggris (minimal pasif); Dapat memasarkan product baik di dalam kota maupun di luar kota; Memperkenalkan dan menjual produk; Mencari customer baru dan membangun hubungan baik dengan customer lama perusahaan.; Membangun hubungan baik dengan perusahaan-perusahaan yang membutuhkan jasa atau product yang dijual; Meningkatkan penjualan sesuai target yang di tentukan oleh perusahaan,https://id.jobstreet.com/id/job/91615887?type=standard&ref=search-standalone&origin=cardTitle
STAFF ACCOUNTING & PAJAK,HIMPUH,Tebet,Full time,Rp 4.000.000 – Rp 5.500.000 per month,,https://id.jobstreet.com/id/job/91197851?type=standard&ref=search-standalone&origin=cardTitle
Legal Officer,PT. Berkat Maritim Abadi,Jakarta Utara,Kontrak/Temporer,Rp 10.000.000 – Rp 15.000.000 per month,"Pendidikan minimal S1 Hukum (diutamakan Hukum Perdata/Bisnis) dengan pengalaman minimal 3 tahun sebagai Legal Officer atau posisi sejenis.; Memahami hukum perdata, hukum perusahaan, serta regulasi terkait (Hukum Ketenagakerjaan, perizinan usaha, dan tata kelola perusahaan/kepatuhan hukum).; Mampu menyusun dan me-review dokumen legal seperti perjanjian kerja, kontrak bisnis (vendor, klien, kerja sama), serta legal opinion & legal memo.; Memiliki kemampuan analisis yang baik, teliti, dan komunikatif dalam memberikan solusi hukum.; Mampu melakukan pengarsipan serta monitoring dokumen hukum secara rapi dan sistematis.",https://id.jobstreet.com/id/job/91374586?type=standard&ref=search-standalone&origin=cardTitle
Sales Executive,PT Wook Global Technology,Bandar Lampung,Full time,,"Fast-paced & result-oriented.; Budaya kerjaChina Companyyang dinamis & bertumbuh cepat.; Menghargai kerja keras, inisiatif, dan pencapaian target.; Kolaboratif, langsung, dan fokus pada eksekusi.; Gaji Pokok.; Komisi Penjualan 1% dari total omzet per bulan.(tanpa batas maksimal & minimal); BPJS Kesehatan & BPJS Ketenagakerjaan.; Tunjangan Perjalanan Dinas Luar Kota.; Status Karyawan Tetapsetelah masa probation 3 bulan.; Tunjangan Lengkap:; Tunjangan Komunikasi.; Tunjangan Makan.; Tunjangan Transport (reimbursement bensin & parkir).; THR.; Aksesoris Gadget & PC Gaming; Small Home Appliances(rice cooker, microwave, air fryer, dll).; Home Living(perlengkapan rumah, dapur, dekorasi, sandal, dll).; Interior & Bahan Bangunan(vinil, cat, wallpaper, gypsum, PVC, gordyn).; Furniture(busa, kasur udara, bedcover, dll).; Electrical(saklar, stop kontak, kabel listrik, dll).; Convenience Goods(sabun, pasta gigi, tisu, produk kebersihan, mainan anak-anak).; Mengelola dan mengembangkandatabase customer aktif.; Mencapai target penjualan dan KPI yang ditetapkan perusahaan.; Melakukan kunjungan rutin ke customer (existing & new customer).; Membuka dan memperluas area market baru sesuai arahan atasan.; Melakukan negosiasi harga dan closing penjualan.; Menyusun laporan penjualan secara berkala.; Menjaga hubungan jangka panjang dengan customer.; Bekerja sama dengan tim internal untuk support operasional.; Pendidikan minimalSMA/SMK(semua jurusan).; Pengalamanminimal 2 tahun sebagai Sales Executive(sesuai kategori produk).; Memilikidatabase customer aktifdi area relevan.; Terbiasa bekerja dengantarget & KPI.; Memilikikendaraan bermotor & SIM C aktif.; Komunikatif, percaya diri, dan memiliki kemampuan negosiasi yang baik.; Bersedia bekerjahari Sabtu (08.45 – 12.30).; Siap ditempatkan di cabang sesuai kebutuhan dan ekspansi pasar.; Jalur karier jelas (Sales → Senior Sales → Supervisor → Manager).; Lingkungan kerja yang mendorong performa & hasil.; Exposure kemulti-brand & multi-channel sales.; Kesempatan berkembang di perusahaan ekspor cross-border berskala regional.; Komisi tanpa batas– semakin tinggi performa, semakin besar penghasilan.; Produk kuat & market luasdi berbagai kategori kebutuhan.; Perusahaan stabil & berkembang pesatdi Asia Tenggara.",https://id.jobstreet.com/id/job/91140477?type=standard&ref=search-standalone&origin=cardTitle
Interior Designer,PT Wellz-In Indonesia,Jakarta Selatan,Full time,,,https://id.jobstreet.com/id/job/91175478?type=standard&ref=search-standalone&origin=cardTitle
Production Manager (Produksi Indusri Garment),PT PUTRA PUTRI LESTARI GARMINDO,Gunung Sindur,Full time,,"Pendidikan minimalS1 Teknik Industri, Manajemen Produksi, atau bidang terkait.; Berpengalaman minimal5 tahun di industri garment, termasuk3 tahun di posisi manajerial atau Asisten Manajer.; Memahami alur kerja produksi garment.; Menguasai teknik menjahit; Berorientasi pada target",https://id.jobstreet.com/id/job/91452157?type=standard&ref=search-standalone&origin=cardTitle
Engineering Construction Management Staff,PT Global Jet Express,Jakarta Utara,Kontrak/Temporer,,"Mengelola proyek konstruksi Gateway secara end-to-end, mulai dariinitiation hingga closing phase; Melakukanquality controlpada proyek yang sedang berjalan untuk memastikan pekerjaan sesuai standar dan spesifikasi; Berkoordinasi secara aktif dengan kontraktor terkait progres, kendala, dan penyelesaian proyek; Meninjau dan memverifikasigambar kerja MEPserta memastikan desain dapat mendukung aktivitas operasional; Memastikan seluruh instalasi MEP dilaksanakan sesuai desain, spesifikasi teknis, dan kebutuhan operasional; Memonitor prosesTesting & Commissioninguntuk seluruh instalasi MEP; Melakukan supervisi lapangan guna memastikan proyek berjalan sesuai desain, mutu, dan jadwal yang ditetapkan; Memberikan solusi teknis secara cepat dan efektif apabila terjadi kendala di lapangan; Mengelola alur administrasi dan operasional proyek apabila terjadi keterlambatan akibat kondisi yang tidak terduga; Melakukan pengecekan dan verifikasi dokumenBAST Renovation & Constructionsebelum serah terima proyek; Pendidikan minimalS1 Teknik Sipil atau Arsitektur; Memiliki kemampuanBahasa Mandarin (lisan & tulisan)menjadi nilai tambah; Bersedia bekerja lembur dan melakukan perjalanan dinas ke luar kota; Mampu menyusun dan menghitungBill of Quantity (BoQ); Menguasai penggunaanAutoCAD dan SketchUp(Kemampuan menggunakan Enscape menjadi nilai plus); Memahami perhitungan dan prinsip dasarstruktur bangunan; Memiliki kemampuan problem solving, koordinasi lapangan, dan manajemen waktu yang baik; Mampu bekerja di bawah tekanan dan deadline proyek",https://id.jobstreet.com/id/job/91574214?type=standard&ref=search-standalone&origin=cardTitle
SALES,PT. Andero Michaniki Indonesia,Jakarta Barat,Full time,,"Melakukan aktivitas penjualan produk dan solusi HVAC, baik proyek maupun non-proyek; Mengembangkan dan menjaga hubungan baik dengan klien (existing maupun new customer); Melakukan presentasi produk dan solusi teknis kepada pelanggan; Menyusun penawaran harga, negosiasi, serta tindak lanjut penjualan; Berkoordinasi dengan tim internal (engineering & project) untuk memastikan kebutuhan customer terpenuhi; Mencapai target penjualan yang telah ditetapkan perusahaan; Pendidikan minimal D3 / S1 (diutamakan teknik atau bidang terkait); Pengalaman minimal 1 tahun di bidang sales/marketing, diutamakan di industri HVAC, engineering, atau trading; Terbiasa bekerja di lingkungan berbasis proyek; Memiliki kemampuan presentasi dan komunikasi yang baik; Memahami Bahasa Inggris (minimal pasif); Mampu bekerja secara mandiri maupun dalam tim; Jujur, disiplin, dan memiliki motivasi kerja yang tinggi; Mampu mengoperasikan komputer (dokumen, spreadsheet, dan presentasi)",https://id.jobstreet.com/id/job/91278027?type=standard&ref=search-standalone&origin=cardTitle
AFFILIATE SPECIALIST,PT Griff Prima Abadi,Jakarta Selatan,Full time,,"Mengembangkan dan mengelola strategi program affiliate di Shopee, TikTok, dan platform lainnya.; Mencari, merekrut, dan membina hubungan dengan affiliate partners (KOL, reseller, creator).; Memantau, menganalisa dan mengoptimalkan performa program affiliate, affiliate members & melakukan optimasi untuk meningkatkan penjualan berdasarkan data (CPS, CTR, ROI, GMV).; Menyusun strategi tiering system (silver–gold–platinum) untuk meningkatkan loyalitas dan performa top affiliates.; Bekerja sama dengan tim campaign, e-commerce, dan performance marketing untuk integrasi promosi.; Menyelenggarakan affiliate gathering untuk serta menjalin hubungan baik dengan para affiliate member; Menyusun content brief dan komunikasi campaign untuk para affiliate agar konten yang diproduksi selaras dengan key message dan visual direction brand.; Memberikan guideline dan contoh best practices (caption, hooks, visual reference) untuk meningkatkan kualitas konten affiliate.; Memberikan panduan melalui webinar coaching program & training session agar untuk mengedukasi keunggulan produk serta cara menjual yang efektif.; Membantu meningkatkan loyalitas affiliate member terhadap brand; Menyusun laporan performa mingguan & rekomendasi optimasi.; Pendidikan terakhir SMA/SMK Sederajat; Min. 1–2 tahun pengalaman sebagai Affiliate / Partnership Specialist (lebih disukai dari FMCG / beauty).; Terbiasa bekerja dengan data dan KPI digital (strong analytical & data-driven mindset).; Menguasai ekosistem Shopee Affiliate, TikTok Shop Affiliate, dan paham cara mengoptimalkan content-to-conversion funnel.; Memiliki kemampuan negosiasi, komunikasi, dan manajemen hubungan yang baik.; Growth-driven, fast learner, dan terbiasa bekerja dalam lingkungan yang dinamis dan berorientasi hasil.; Mampu berpikir strategis, kreatif, serta mampu mengelola banyak proyek secara paralel dengan hasil yang terukur.; Terbiasa bekerja dengan TargeT.",https://id.jobstreet.com/id/job/91421937?type=standard&ref=search-standalone&origin=cardTitle
SALES,PT Bina Global Transport,Jakarta Utara,Full time,,"Pendidikan minimal D3/S1; Pengalaman Sales 1 tahun di Perusahaan Freight Forwarder; Fresh Graduate are Welcome; Target Oriented; Berdomisili di Jakarta Utara dan sekitarnya; Sebanyak mungkin medapatkan customer,; Mengetahui kondisi market di luar; Mengetahui competitor",https://id.jobstreet.com/id/job/91486757?type=standard&ref=search-standalone&origin=cardTitle
TENAGA TEKNIK KEFARMASIAN,Aditya Medical Centre,Jakarta Raya,Full time,Rp 4.500.000 – Rp 5.800.000 per month,"Mengelola dan mendistribusikan persediaan obat-obatan secara efisien dan sesuai standar.; Mempersiapkan dan mengemas ulang obat-obatan sesuai resep dokter.; Memantau kadaluwarsa dan kondisi penyimpanan obat-obatan.; Memberikan informasi dan konsultasi kepada pasien tentang penggunaan obat yang tepat.; Berkoordinasi dengan tenaga kesehatan lain untuk memastikan kepatuhan pengobatan.; Memelihara catatan dan dokumentasi kefarmasian dengan rapi dan akurat.; Membantu dalam pengelolaan inventory, pemesanan, dan pengadaan obat-obatan.; Memiliki gelar D3 Farmasi yang terakreditasi.; Memiliki Ijin Praktik TTK (STR) yang masih berlaku.; Dapat membuat SIP .; Berpengalaman minimal 2 tahun di bidang farmasi klinis .; Memahami peraturan dan prosedur kefarmasian yang berlaku.; Terampil dalam menggunakan sistem informasi manajemen farmasi.; Memiliki kemampuan komunikasi yang baik, berorientasi pada layanan, dan kerja sama tim yang kuat.; Gaji kompetitif dan tunjangan menarik.; Lingkungan kerja yang dinamis, kolaboratif, dan mendukung pengembangan pribadi karyawan.; Akses ke fasilitas kesehatan modern dan teknologi terkini.",https://id.jobstreet.com/id/job/91420683?type=standard&ref=search-standalone&origin=cardTitle
Sales Manager (Batam / Medan),PT Easy Management Systems,Kepulauan Riau,Full time,,"Identify and target potential B2B clients across key industries (e.g., outsourcing, BPO, logistics, manufacturing, F&B).; Build and maintain a strong sales pipeline through outbound prospecting, networking, and referrals.; Conduct needs analysis and present tailored solutions to prospective clients.; Manage end-to-end sales process: prospecting → pitching → negotiation → closing.; Collaborate with internal stakeholders (marketing, credit reviewer, operations, account management, collection, etc) to ensure smooth deal execution and implementation.; Ensure accurate forecasting and pipeline reporting.; Consistently achieve and exceed monthly/quarterly sales targets.; Drive revenue growth through new client acquisition.; Monitor industry trends, competitor activities, and customer needs.; Provide feedback to improve product positioning and sales strategies.; Bachelor’s degree in Business, Marketing, or a related field.; Minimum 3 years of B2B sales experience, preferably inFintech, Banking or SME Creditsegments.; Capable of conducting preliminary assessments to evaluate potential clients’ creditworthiness.; Proven track record of consistently exceeding sales targets and driving revenue growth.; Strong business acumen with the ability to translate business challenges into impactful solutions.; Excellent communication, presentation, and negotiation skills.; Confident in engaging C-level executives and influencing strategic decisions.; Highly self-motivated, target-driven, and able to thrive in a fast-paced, entrepreneurial environment.",https://id.jobstreet.com/id/job/91511287?type=standard&ref=search-standalone&origin=cardTitle
Weighbridge Admin (Kalimantan Timur),"PT SMART,Tbk",Kutai Barat,Full time,,"Management of WB office equipment; Supervise the maintenance, clean and enjoyable working environment; Handling WB Operation clerical or other administrative staff; Organizing, arranging and filling WB documentation.; Sorting and distributing incoming and outgoing documents.; Minimum Diploma (D3) or Bachelor’s Degree in Administration, Management, or related field; Minimum 1–2 years of experience in administrative or clerical roles (experience in weighbridge/WB operations is an advantage); Good understanding of administrative processes and document management; Proficient in Microsoft Office (especially Excel, Word, and Outlook); Strong organizational and filing skills with high attention to detail; Good communication and interpersonal skills; Able to handle multiple tasks and work under pressure; Responsible, disciplined, and able to work independently as well as in a team; Basic knowledge of office equipment management; Willing to be placed in site/mill location",https://id.jobstreet.com/id/job/91266963?type=standard&ref=search-standalone&origin=cardTitle
Sales Executive,PT Thomas Eniks Internasional,Tangerang,Full time,,"memiliki pengalaman di bidang pemasaran B2B makanan & minuman; Mengembangkan dan melaksanakan strategi penjualan dan pemasaran B2B untuk mendorong pertumbuhan pendapatan terutama dalam bidang makanan & minuman; Bekerja sama dengan tim produk, keuangan, dan operasi untuk memberikan solusi B2B yang disesuaikan.; Mencapai target penjualan yang ditetapkan; Berpartisipasi dalam pemasaran dan acara penjualan untuk mempromosikan produk dan layanan kami; Memimpin seluruh siklus penjualan B2B — mulai dari penciptaan prospek hingga negosiasi, penutupan, dan manajemen akun.; Bekerjasama dengan tim internal lainnya untuk memastikan kepuasan pelanggan; Gelar sarjana dalam bidang Penjualan, Pemasaran, atau bidang terkait; Pengalaman minimum 3 - 5 tahun dalam penjualan & pemasaran B2B; Kemampuan komunikasi interpersonal yang kuat dan orientasi pada pelayanan pelanggan; Pengetahuan yang baik tentang produk dan layanan kami; Kemampuan untuk bekerja di bawah tekanan dan memenuhi tenggat waktu; Kemampuan untuk menganalisis data penjualan dan membuat presentasi yang efektif; Keterampilan negosiasi yang baik dan kemampuan untuk memecahkan masalah",https://id.jobstreet.com/id/job/91561968?type=standard&ref=search-standalone&origin=cardTitle
